"Step","decent-rain-216 - cumulative_reward","decent-rain-216 - cumulative_reward__MIN","decent-rain-216 - cumulative_reward__MAX","true-water-215 - cumulative_reward","true-water-215 - cumulative_reward__MIN","true-water-215 - cumulative_reward__MAX","twilight-surf-214 - cumulative_reward","twilight-surf-214 - cumulative_reward__MIN","twilight-surf-214 - cumulative_reward__MAX","comic-planet-213 - cumulative_reward","comic-planet-213 - cumulative_reward__MIN","comic-planet-213 - cumulative_reward__MAX","dashing-snow-212 - cumulative_reward","dashing-snow-212 - cumulative_reward__MIN","dashing-snow-212 - cumulative_reward__MAX","vocal-wind-211 - cumulative_reward","vocal-wind-211 - cumulative_reward__MIN","vocal-wind-211 - cumulative_reward__MAX","still-dust-210 - cumulative_reward","still-dust-210 - cumulative_reward__MIN","still-dust-210 - cumulative_reward__MAX","drawn-mountain-209 - cumulative_reward","drawn-mountain-209 - cumulative_reward__MIN","drawn-mountain-209 - cumulative_reward__MAX","true-darkness-208 - cumulative_reward","true-darkness-208 - cumulative_reward__MIN","true-darkness-208 - cumulative_reward__MAX","lucky-wood-207 - cumulative_reward","lucky-wood-207 - cumulative_reward__MIN","lucky-wood-207 - cumulative_reward__MAX","classic-glade-206 - cumulative_reward","classic-glade-206 - cumulative_reward__MIN","classic-glade-206 - cumulative_reward__MAX","distinctive-deluge-205 - cumulative_reward","distinctive-deluge-205 - cumulative_reward__MIN","distinctive-deluge-205 - cumulative_reward__MAX","solar-sun-204 - cumulative_reward","solar-sun-204 - cumulative_reward__MIN","solar-sun-204 - cumulative_reward__MAX","driven-meadow-203 - cumulative_reward","driven-meadow-203 - cumulative_reward__MIN","driven-meadow-203 - cumulative_reward__MAX","lyric-glade-202 - cumulative_reward","lyric-glade-202 - cumulative_reward__MIN","lyric-glade-202 - cumulative_reward__MAX"
"0","-954","-954","-954","-342","-342","-342","-307","-307","-307","-390","-390","-390","-1000","-1000","-1000","-290","-290","-290","-370","-370","-370","-174","-174","-174","-363","-363","-363","-425","-425","-425","-477","-477","-477","-343","-343","-343","-1000","-1000","-1000","-204","-204","-204","-1000","-1000","-1000"
"1","-633","-633","-633","-316","-316","-316","-203","-203","-203","-124","-124","-124","-1000","-1000","-1000","-347","-347","-347","-214","-214","-214","-119","-119","-119","-1000","-1000","-1000","-243","-243","-243","-670","-670","-670","-1000","-1000","-1000","-1000","-1000","-1000","-217","-217","-217","-1000","-1000","-1000"
"2","-1000","-1000","-1000","-1000","-1000","-1000","-153","-153","-153","-123","-123","-123","-1000","-1000","-1000","-187","-187","-187","-173","-173","-173","-120","-120","-120","-1000","-1000","-1000","-246","-246","-246","-218","-218","-218","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"3","-402","-402","-402","-1000","-1000","-1000","-164","-164","-164","-123","-123","-123","-1000","-1000","-1000","-190","-190","-190","-198","-198","-198","-118","-118","-118","-1000","-1000","-1000","-233","-233","-233","-211","-211","-211","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"4","-194","-194","-194","-1000","-1000","-1000","-174","-174","-174","-122","-122","-122","-1000","-1000","-1000","-187","-187","-187","-174","-174","-174","-118","-118","-118","-1000","-1000","-1000","-212","-212","-212","-214","-214","-214","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"5","-157","-157","-157","-245","-245","-245","-179","-179","-179","-122","-122","-122","-1000","-1000","-1000","-187","-187","-187","-203","-203","-203","-114","-114","-114","-1000","-1000","-1000","-246","-246","-246","-213","-213","-213","-1000","-1000","-1000","-1000","-1000","-1000","-88","-88","-88","-1000","-1000","-1000"
"6","-195","-195","-195","-283","-283","-283","-191","-191","-191","-125","-125","-125","-1000","-1000","-1000","-187","-187","-187","-172","-172","-172","-117","-117","-117","-1000","-1000","-1000","-236","-236","-236","-215","-215","-215","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000"
"7","-158","-158","-158","-215","-215","-215","-168","-168","-168","-123","-123","-123","-1000","-1000","-1000","-1000","-1000","-1000","-172","-172","-172","-113","-113","-113","-1000","-1000","-1000","-246","-246","-246","-217","-217","-217","-1000","-1000","-1000","-1000","-1000","-1000","-155","-155","-155","-1000","-1000","-1000"
"8","-159","-159","-159","-1000","-1000","-1000","-185","-185","-185","-125","-125","-125","-1000","-1000","-1000","-1000","-1000","-1000","-207","-207","-207","-119","-119","-119","-1000","-1000","-1000","-244","-244","-244","-217","-217","-217","-1000","-1000","-1000","-1000","-1000","-1000","-150","-150","-150","-1000","-1000","-1000"
"9","-187","-187","-187","-280","-280","-280","-183","-183","-183","-124","-124","-124","-1000","-1000","-1000","-1000","-1000","-1000","-173","-173","-173","-120","-120","-120","-1000","-1000","-1000","-281","-281","-281","-211","-211","-211","-1000","-1000","-1000","-1000","-1000","-1000","-149","-149","-149","-1000","-1000","-1000"
